# 프로젝트 진행 로그

| 날짜 | 작업 내용 | 결과 | 다음 할 일 |
| 2026-03-27 | workspace 전환·CI 핫픽스·에이전트 보고 체계·문서 정비 | ✅ [Fix] PR #11: sync.yml NEXT_PUBLIC_SUPABASE_URL placeholder → https://placeholder.supabase.co (CI 빌드 오류 수정) / [Chore] PR #10: 01~05번 에이전트 보고 체계 유연성 부여 / [Chore] 단일 workspace 워크트리 운영 방식으로 전환 (.claude/worktrees/workspace) / CLAUDE.md 기술 스택 Supabase 반영 / worktree SKILL.md 기본=브랜치 방식으로 업데이트 / .claude/settings.json 훅 추가 / .gitignore SupabaseGoogleOAuth.json | Tavily API 키 교체 후 test_run.py 재실행 / Phase 4 착수 (Vercel Analytics + Sentry) |
| 2026-03-27 | Firebase → Supabase 완전 이관 | ✅ [Feat] Firebase Auth → Supabase Auth (Google OAuth + Email/Password) / Firebase RTDB → Supabase Realtime (feed 테이블 단일 행 UPSERT) / firebase-admin Python·firebase npm 패키지 제거 / watchlist RLS app.user_id → auth.uid() 네이티브 교체 / sync.yml 환경변수 정리 / PR #9 merge 완료 | Tavily API 키 교체 후 test_run.py 재실행 → glossary/flow 검증 / Vercel Analytics + Sentry 도입 |
| 2026-03-25 | watchlist RLS UPDATE 정책 누락 추가 | ✅ [Fix] supabase_schema.sql: watchlist UPDATE 정책 추가 (USING + WITH CHECK) / DATA_SCHEMA.md RLS 정책 목록 반영 / PR #7 merge / Supabase SQL Editor DDL 직접 실행 완료 | Tavily API 한도 복구 후 test_run.py 재실행 → glossary/flow 필드 검증 / Phase 4 성능 최적화 착수 |
| 2026-03-23 | glossary_terms + flow_explanation 금융 학습 콘텐츠 추가 | ✅ [Feat] ai_service.py 프롬프트에 glossary_terms(금융 용어 2-3개·한 줄 정의)·flow_explanation(시장 인과관계 흐름) 필드 추가 / types.ts GlossaryTerm 인터페이스 신규 + AISummaryStructured optional 확장 / AISummaryCard.tsx 🔗 시장 흐름·📖 용어 설명 조건부 렌더링 섹션 추가 / models.py MAX_TOKENS 2000→2500 / test_run.py glossary·flow 필드 검증 출력 추가 / main 병합·push 완료 (88f7740) | Lambda 재배포 후 실제 AI 응답에서 glossary/flow 필드 생성 여부 육안 검증 / Phase 4 성능 최적화 또는 프롬프트 미세조정 |
| 2026-03-22 | Naver News API 통합 — 한국 종목·거시경제 뉴스 한국어 수집 | ✅ [Feat] get_naver_news() 추가 (HTML 태그 제거·BM25·VADER·dedup 파이프라인) / tickers.py KS 종목 kr_name 필드(삼성전자·네이버) + KR_MACRO_KEYWORDS 4개 추가 / main.py .KS 종목 Naver 라우팅·한국 거시뉴스 Step 1-2 추가 / sync.yml·make_lambda_env.py NAVER 환경변수 추가 / main 병합·push 완료 (ea63f8b) | 사용자 Naver Developers API 키 발급 → GitHub Secrets(NAVER_CLIENT_ID·NAVER_CLIENT_SECRET) 등록 → Lambda 재배포 검증 |
| 2026-03-22 | SUPABASE Lambda 환경변수 주입 + 뉴스 노이즈 필터링 2단계 업그레이드 | ✅ [Fix] sync.yml env 블록에 SUPABASE_URL·SUPABASE_SERVICE_ROLE_KEY 추가 → Watchlist 개인 종목 관리 프로덕션 정상 동작 / [Feat] news_service.py 노이즈 필터링: Tavily score≥0.5 + days=1(24h) + difflib 중복 제거 → rank-bm25 재랭킹(top-3) + VADER 감성 메타데이터(compound -1~+1) 추가 / 업계 기술 조사(SimHash·MinHash·BM25·FinBERT) 수행 후 Lambda 250MB 제한 내 rank-bm25(20KB)·vaderSentiment(1MB) 선정 / Context7 MCP로 API 무결성 검증 완료 | 뉴스 소스 다변화(NewsAPI 추가) 또는 금융 학습 콘텐츠(glossary·flow_explanation) 착수 |
| 2026-03-20 | /db-audit 실행 + Firestore 보안 규칙 수정 + TradingView 차트 교체 | ✅ [Audit] Firebase RTDB 경로 8개 전체 일치 / ref.set() 금지 위반 없음 / watchlist RLS SELECT·INSERT·DELETE ✅, UPDATE 누락 ⚠️ (DDL 초안 supabase_schema.sql 주석 포함) / 심볼 키 정규화 일관성 ✅ / 보안 감사 키 노출 없음 ✅ [Security] Firestore 규칙 → allow read, write: if false (사용자 직접 적용) [Feat] lightweight-charts + Supabase stock_history 파이프라인 제거 / TradingView Widget iframe embed 교체 / StockChart.tsx 전면 재작성 / StockRow.tsx dynamic import 제거 / types.ts StockHistory 인터페이스 제거 / db_service.py save_stock_history() 제거 / main.py Step E 제거 (get_stock_history()는 AI 컨텍스트용 보존) / NVDA·Samsung(KRX) 매핑 프리뷰 검증 완료 | package.json lightweight-charts 제거 (02번) / Firebase RTDB 보안 규칙 Console 확인 후 문서화 / stock_history 테이블 DROP 여부 결정 / claude/sharp-gates 브랜치 커밋·push |
| 2026-03-21 | /worktree·/init 스킬 신규 생성 + 에이전트 효율화 3건 + 5-Agent 체제 문서 전환 | ✅ [Task 1] .claude/skills/worktree/SKILL.md 신규 생성 (start/list/clean 서브커맨드, /commit-kr 연결) / [Task 2-A] .claude/scripts/validate-doc-write.sh 신규 생성 + 04번 agent Write/Edit 권한 복구 (docs/**/*.md·CLAUDE.md 한정 hook으로 보호) / [Task 2-B] validate-python-only.sh: git status·diff·log 허용 추가 (03번 워크트리 상태 조회 가능) / [Task 2-C] AGENT_DIRECTORY.md: 05번 카드+트리거 조건 표+조직도 갱신 / PLAYBOOK.md: SOP 1(05번 분기 추가)·SOP 5(/worktree clean 참조 교체)·호출 가이드 표 05번 추가 / 04_tech_lead_pm_agent.md: "01~03번"→"01~03번 및 05번" 전체 교체 + 05번 dispatch 조건 신설 / [Task 3] .claude/skills/init/SKILL.md 신규 생성 (세션 시작 브리핑, Lint 생략) / CLAUDE.md: 세션 시작 트리거 섹션 추가 ("출근했어"→/init) + 에이전트 수 01~04→01~05 갱신 | Phase 4 성능 최적화 또는 SUPABASE Lambda 환경변수 주입 착수 |
| 2026-03-20 | 05번 DB Management Agent 신규 구축 | ✅ .claude/agents/05_db_management_agent.md 신규 생성 (orange, worktree isolation) / Firebase RTDB 거버넌스·Supabase 스키마 관리·RLS 감사·보안 감사 전담 / Write 권한: supabase_schema.sql + DATA_SCHEMA.md 한정 / 미해결 보안 이슈 5개 내장 / .claude/skills/db-audit/SKILL.md 신규 생성 (4단계 감사: Firebase 경로·Supabase RLS·심볼 키 정규화·보안) / .claude/hooks/warn-db-schema-change.sh 신규 생성 (db_service.py·supabase_schema.sql·market_service.py 수정 시 체크리스트 경고, 차단 없음) | Phase 4 성능 최적화 착수 또는 SUPABASE Lambda 환경변수 주입 (sync.yml env 블록 추가) 검토 |
| 2026-03-19 | Claude Code 준수 강화 아키텍처 구현 | ✅ [레이어 0] isolation: worktree (01·03번 에이전트) / [레이어 1] 에이전트 frontmatter tools 제한 (01~04번) + Agent 도구 추가 / [레이어 2] Hooks 5종 (.claude/hooks/: block-direct-lambda, block-env-git-add, block-hardcoded-secrets, block-firebase-set, warn-uncommitted) + .claude/settings.json / [레이어 3] Skills 4종 신규 (qa, commit-kr, report, handoff) / [레이어 4] 내장 에이전트 타입(Explore/Plan/general-purpose) 통합 — CLAUDE.md 가이드 추가 | Phase 4 성능 최적화 착수 또는 SUPABASE Lambda 환경변수 주입 검토 |
